ID Exercício,Nome do Exercício,Grupo,Padrão de Movimento,Músculo,Fator (Série),Exigência Neural,Classificação
1,Bench Press,Peitoral,Empurrão Horizontal,Peitoral Maior,1,4,Composto
1,Bench Press,Ombros,Empurrão Horizontal,Deltoide Anterior,0.5,4,Composto
1,Bench Press,Braços,Empurrão Horizontal,Tríceps Braquial,0.5,4,Composto
2,Incline Bench Press,Peitoral,Empurrão Horizontal,Peitoral Maior,1,4,Composto
2,Incline Bench Press,Ombros,Empurrão Horizontal,Deltoide Anterior,0.5,4,Composto
2,Incline Bench Press,Braços,Empurrão Horizontal,Tríceps Braquial,0.5,4,Composto
3,Decline Bench Press,Peitoral,Empurrão Horizontal,Peitoral Maior,1,4,Composto
3,Decline Bench Press,Braços,Empurrão Horizontal,Tríceps Braquial,0.5,4,Composto
4,Dips,Peitoral,Empurrão Horizontal,Peitoral Maior,1,4,Composto
4,Dips,Ombros,Empurrão Horizontal,Deltoide Anterior,0.5,4,Composto
4,Dips,Braços,Empurrão Horizontal,Tríceps Braquial,0.5,4,Composto
5,Push-up,Peitoral,Empurrão Horizontal,Peitoral Maior,1,4,Composto
5,Push-up,Ombros,Empurrão Horizontal,Deltoide Anterior,0.5,4,Composto
5,Push-up,Braços,Empurrão Horizontal,Tríceps Braquial,0.5,4,Composto
6,Overhead Press,Ombros,Empurrão Vertical,Deltoide Anterior,1,4,Composto
6,Overhead Press,Ombros,Empurrão Vertical,Deltoide Lateral,1,4,Composto
6,Overhead Press,Braços,Empurrão Vertical,Tríceps Braquial,0.5,4,Composto
7,Barbell Row,Costas,Puxão Horizontal,Grande Dorsal,1,4,Composto
7,Barbell Row,Costas,Puxão Horizontal,Rombóides,1,4,Composto
7,Barbell Row,Costas,Puxão Horizontal,Trapézio Médio,1,4,Composto
7,Barbell Row,Ombros,Puxão Horizontal,Deltoide Posterior,0.5,4,Composto
7,Barbell Row,Braços,Puxão Horizontal,Bíceps Braquial,0.5,4,Composto
8,Seated Row,Costas,Puxão Horizontal,Grande Dorsal,1,4,Composto
8,Seated Row,Costas,Puxão Horizontal,Rombóides,1,4,Composto
8,Seated Row,Ombros,Puxão Horizontal,Deltoide Posterior,0.5,4,Composto
8,Seated Row,Braços,Puxão Horizontal,Bíceps Braquial,0.5,4,Composto
9,T-Bar Row,Costas,Puxão Horizontal,Grande Dorsal,1,4,Composto
9,T-Bar Row,Costas,Puxão Horizontal,Rombóides,1,4,Composto
9,T-Bar Row,Braços,Puxão Horizontal,Bíceps Braquial,0.5,4,Composto
10,One-arm Row,Costas,Puxão Horizontal,Grande Dorsal,1,4,Composto
10,One-arm Row,Costas,Puxão Horizontal,Rombóides,1,4,Composto
10,One-arm Row,Braços,Puxão Horizontal,Bíceps Braquial,0.5,4,Composto
11,Pull-up,Costas,Puxão Vertical,Grande Dorsal,1,4,Composto
11,Pull-up,Braços,Puxão Vertical,Bíceps Braquial,0.5,4,Composto
11,Pull-up,Ombros,Puxão Vertical,Deltoide Posterior,0.5,4,Composto
12,Lat Pulldown,Costas,Puxão Vertical,Grande Dorsal,1,4,Composto
12,Lat Pulldown,Braços,Puxão Vertical,Bíceps Braquial,0.5,4,Composto
13,Back Squat,Membros Inferiores,Dominante de Joelho,Quadríceps,1,4,Composto
13,Back Squat,Membros Inferiores,Dominante de Joelho,Glúteo Máximo,1,4,Composto
13,Back Squat,Costas / Core,Dominante de Joelho,Eretores da Espinha,0.5,4,Composto
14,Bulgarian Split Squat,Membros Inferiores,Dominante de Joelho,Quadríceps,1,4,Composto
14,Bulgarian Split Squat,Membros Inferiores,Dominante de Joelho,Glúteo Máximo,1,4,Composto
15,Leg Press,Membros Inferiores,Dominante de Joelho,Quadríceps,1,3,Composto
15,Leg Press,Membros Inferiores,Dominante de Joelho,Glúteo Máximo,1,3,Composto
16,Leg Extension,Membros Inferiores,Dominante de Joelho,Quadríceps,1,4,Isolador
17,Lying Leg Curl,Membros Inferiores,Dominante de Joelho,Isquiotibiais,1,4,Isolador
18,Seated Leg Curl,Membros Inferiores,Dominante de Joelho,Isquiotibiais,1,4,Isolador
19,Deadlift,Membros Inferiores,Dominante de Quadril,Glúteo Máximo,1,4,Composto
19,Deadlift,Membros Inferiores,Dominante de Quadril,Isquiotibiais,1,4,Composto
19,Deadlift,Costas / Core,Dominante de Quadril,Eretores da Espinha,1,4,Composto
19,Deadlift,Costas,Dominante de Quadril,Trapézio Superior,0.5,4,Composto
20,Romanian Deadlift,Membros Inferiores,Dominante de Quadril,Isquiotibiais,1,4,Composto
20,Romanian Deadlift,Membros Inferiores,Dominante de Quadril,Glúteo Máximo,1,4,Composto
21,Stiff Leg Deadlift,Membros Inferiores,Dominante de Quadril,Isquiotibiais,1,4,Composto
21,Stiff Leg Deadlift,Membros Inferiores,Dominante de Quadril,Glúteo Máximo,1,4,Composto
22,Hip Thrust,Membros Inferiores,Dominante de Quadril,Glúteo Máximo,1,4,Composto
22,Hip Thrust,Membros Inferiores,Dominante de Quadril,Isquiotibiais,0.5,4,Composto
23,Dumbbell Fly,Peitoral,Crucifixos,Peitoral Maior,1,2,Isolador
23,Dumbbell Fly,Ombros,Crucifixos,Deltoide Anterior,0.5,2,Isolador
24,Pec Deck,Peitoral,Crucifixos,Peitoral Maior,1,2,Isolador
25,Pec Fly,Peitoral,Crucifixos,Peitoral Maior,1,2,Isolador
26,Reverse Fly,Ombros,Crucifixos,Deltoide Posterior,1,2,Isolador
26,Reverse Fly,Costas,Crucifixos,Rombóides,1,2,Isolador
26,Reverse Fly,Costas,Crucifixos,Trapézio Médio,0.5,2,Isolador
